NameProgram,TypeProgram,LegalForm,Id,Region,District,DrfoCode,CreateAt,organization,DesiredAmount,ProvidedAmount,Area,LandParcelCount,QuantityAnimal,AnimalCount
 [wf 31.08] утримання корів ,Підтримка фермерських господарств та інших виробників сільськогосподарської продукції,Юридична особа,136,ЛЬВІВСЬКА ОБЛАСТЬ,ЯВОРІВСЬКИЙ РАЙОН,8337475828,2022-08-31,Укрдержфонд,56000,0,129.2039,120,97,97
#Дотація на будівництво та/або реконструкцію систем для зрошення дощуванням без вартості поливної техніки та обладнання,Пряме субсидування з Державного Бюджету,Юридична особа,13,ОДЕСЬКА ОБЛАСТЬ,ПОДІЛЬСЬКИЙ РАЙОН,30909920,2023-11-01,Укрдержфонд,492764.18750,0,466.4522500000001,9,,0
#Дотація на будівництво та/або реконструкцію систем для зрошення дощуванням без вартості поливної техніки та обладнання,Пряме субсидування з Державного Бюджету,Юридична особа,395,ВОЛИНСЬКА ОБЛАСТЬ,ЛУЦЬКИЙ РАЙОН,37029376,2023-10-31,Укрдержфонд,138614.8750,145000,894.9453000000002,10,,0
%Дотація на будівництво та/або реконструкцію систем для краплинного зрошення з урахуванням вартості обладнання,Пряме субсидування з Державного Бюджету,Юридична особа,396,ВОЛИНСЬКА ОБЛАСТЬ,ЛУЦЬКИЙ РАЙОН,36716772,2023-10-30,Укрдержфонд,343173.9500,11000,27.814999999999998,3,,0
"(01)Комплексне, конкурентоспроможне та економічно раціональне створення ланцюжків доданої вартості - виноробство ",Надання грантів в рамках міжнародної фінансової допомоги,ФОП,5,ЛЬВІВСЬКА ОБЛАСТЬ,ЗОЛОЧІВСЬКИЙ РАЙОН,3062808986,2023-03-20,"КИЇВСЬКА КОНДИТЕРСЬКА ФАБРИКА ""РОШЕН""",200000,0,,0,23,23
"(01)Комплексне, конкурентоспроможне та економічно раціональне створення ланцюжків доданої вартості - виноробство ",Надання грантів в рамках міжнародної фінансової допомоги,ФОП,128,ЛУГАНСЬКА ОБЛАСТЬ,СВАТІВСЬКИЙ РАЙОН,24843938,2023-04-06,"КИЇВСЬКА КОНДИТЕРСЬКА ФАБРИКА ""РОШЕН""",1231,0,115.77700000000002,9,,0
"(01)Комплексне, конкурентоспроможне та економічно раціональне створення ланцюжків доданої вартості - виноробство ",Надання грантів в рамках міжнародної фінансової допомоги,ФОП,1034,СУМСЬКА ОБЛАСТЬ,ШОСТКИНСЬКИЙ РАЙОН,477778899008888,2023-06-06,"КИЇВСЬКА КОНДИТЕРСЬКА ФАБРИКА ""РОШЕН""",20000,0,1231.7339299999974,704,206,206
"(01)Комплексне, конкурентоспроможне та економічно раціональне створення ланцюжків доданої вартості - виноробство ",Надання грантів в рамках міжнародної фінансової допомоги,Юридична особа,18,ВОЛИНСЬКА ОБЛАСТЬ,ЛУЦЬКИЙ РАЙОН,4307401607,2023-06-09,"КИЇВСЬКА КОНДИТЕРСЬКА ФАБРИКА ""РОШЕН""",345,0,1046.1812999999993,335,1395,1395
"(01)Комплексне, конкурентоспроможне та економічно раціональне створення ланцюжків доданої вартості - виноробство ",Надання грантів в рамках міжнародної фінансової допомоги,Юридична особа,136,ЛЬВІВСЬКА ОБЛАСТЬ,ЯВОРІВСЬКИЙ РАЙОН,8337475828,2023-04-11,"КИЇВСЬКА КОНДИТЕРСЬКА ФАБРИКА ""РОШЕН""",100000,0,129.2039,120,97,97
"(01)Комплексне, конкурентоспроможне та економічно раціональне створення ланцюжків доданої вартості - виноробство ",Надання грантів в рамках міжнародної фінансової допомоги,Юридична особа,800,СУМСЬКА ОБЛАСТЬ,СУМСЬКИЙ РАЙОН,03779515,2023-04-07,"КИЇВСЬКА КОНДИТЕРСЬКА ФАБРИКА ""РОШЕН""",2342,0,18.2756,2,1,1
