Id,Назва організації,Назва програми,Тип програми,Назва етапу,Номер етапу,Обсяг,ProgramAmountUnitOfMeasure,Дата відправлення реєстру,Сформував,Статус,Область,Район,Населений пункт,Реєстраційний номер заявки,Дата рєстрації заявки,Реєстраційний номер,Дата реєстрації,Назва або ПІБ сільгосвиробника,Тип особи,Податковий номер,IBAN рахунку для виплат,Обсяг підтримки
238,УКРАЇНСЬКІ ХЛІБНІ ТРАДИЦІЇ,[LST] Бюджетна субсидія на одиницю оброблюваних угідь (1 га),Підтримка фермерських господарств та інших виробників сільськогосподарської продукції,"Формування та затвердження Переліку отримувачів за напрямом ""на один гектар земель сільськогосподарського призначення""",Етап 3,12312,грн.,2024-03-01 14:43:38.506015,Мельник Віктор Петрович,Затверджено,ОДЕСЬКА ОБЛАСТЬ,ПОДІЛЬСЬКИЙ РАЙОН,,U725-01749,2024-03-01 14:40:37.022261,2020-000013,2020-02-05 16:43:33.405000,"СЕЛЯНСЬКЕ (ФЕРМЕРСЬКЕ) ГОСПОДАРСТВО ""ЕМАНУІЛ """,Юридична особа,30909920,234234324234234324234232342,12312
230,УКРАЇНСЬКІ ХЛІБНІ ТРАДИЦІЇ,4.0  Дотація  {шаблон реєстру} V3,Пряме субсидування з Державного Бюджету,Визначення розміру дотації за кожним отримувачем та формування переліку отримувачів на підставі рішення комісії Мінагрополітики ,Етап 3,68000,грн,2024-01-22 09:52:36.214426,Мельник Віктор Петрович,Затверджено,ХАРКІВСЬКА ОБЛАСТЬ,НОВОВОДОЛАЗЬКИЙ РАЙОН,ФЕДОРІВКА,U1245-01659,2023-12-11 15:25:49.564468,2023-003002,2023-06-26 10:01:39.610831,ОБОДОВСЬКИЙ ЮРІЙ ДАНИЛОВИЧ,ФОП,2427900718,123213213213123213123123123,45000
230,УКРАЇНСЬКІ ХЛІБНІ ТРАДИЦІЇ,4.0  Дотація  {шаблон реєстру} V3,Пряме субсидування з Державного Бюджету,Визначення розміру дотації за кожним отримувачем та формування переліку отримувачів на підставі рішення комісії Мінагрополітики ,Етап 3,68000,грн,2024-01-22 09:52:36.214426,Мельник Віктор Петрович,Затверджено,ЛЬВІВСЬКА ОБЛАСТЬ,МОСТИСЬКИЙ РАЙОН,ЛИПНИКИ,U1245-01658,2023-12-11 15:15:46.458092,2020-000136,2020-02-21 12:36:40.569000,"СІЛЬСЬКОГОСПОДАРСЬКЕ ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""МИР""",Юридична особа,03374758,999999999999999999999999999,23000
241,УКРАЇНСЬКІ ХЛІБНІ ТРАДИЦІЇ,Етап контролю виплат,Інші,"Формування та затвердження Переліку отримувачів за напрямом ""на один гектар земель сільськогосподарського призначення""",Етап 2,388456,грн.,2024-03-19 12:44:12.657482,Мельник Віктор Петрович,Затверджено,ХАРКІВСЬКА ОБЛАСТЬ,НОВОВОДОЛАЗЬКИЙ РАЙОН,ФЕДОРІВКА,U1339-01822,2024-03-19 12:34:44.115887,2023-003002,2023-06-26 10:01:39.610831,ОБОДОВСЬКИЙ ЮРІЙ ДАНИЛОВИЧ,ФОП,2427900718,123213213213123213123123123,85000
241,УКРАЇНСЬКІ ХЛІБНІ ТРАДИЦІЇ,Етап контролю виплат,Інші,"Формування та затвердження Переліку отримувачів за напрямом ""на один гектар земель сільськогосподарського призначення""",Етап 2,388456,грн.,2024-03-19 12:44:12.657482,Мельник Віктор Петрович,Затверджено,,,,U1339-01823,2024-03-19 12:36:17.771013,2020-000009,2020-02-17 10:43:02.855000,МОЛЧАН СВІТЛАНА СТЕПАНІВНА,Фізична особа,2266123662,343434343434343434343434333,180000
241,УКРАЇНСЬКІ ХЛІБНІ ТРАДИЦІЇ,Етап контролю виплат,Інші,"Формування та затвердження Переліку отримувачів за напрямом ""на один гектар земель сільськогосподарського призначення""",Етап 2,388456,грн.,2024-03-19 12:44:12.657482,Мельник Віктор Петрович,Затверджено,ЛЬВІВСЬКА ОБЛАСТЬ,МОСТИСЬКИЙ РАЙОН,ЛИПНИКИ,U1339-01821,2024-03-19 12:33:46.117196,2020-000136,2020-02-21 12:36:40.569000,"СІЛЬСЬКОГОСПОДАРСЬКЕ ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""МИР""",Юридична особа,03374758,999999999999999999999999999,123456
234,УКРАЇНСЬКІ ХЛІБНІ ТРАДИЦІЇ,[LST] Бюджетна субсидія на одиницю оброблюваних угідь (1 га) (Копія 1),Підтримка фермерських господарств та інших виробників сільськогосподарської продукції,"Формування та затвердження Переліку отримувачів за напрямом ""на один гектар земель сільськогосподарського призначення""",Етап 3,372000,грн.,2024-02-13 10:02:36.599132,Мельник Віктор Петрович,Затверджено,ОДЕСЬКА ОБЛАСТЬ,ПОДІЛЬСЬКИЙ РАЙОН,,U1101-01701,2024-02-13 09:44:07.649109,2020-000013,2020-02-05 16:43:33.405000,"СЕЛЯНСЬКЕ (ФЕРМЕРСЬКЕ) ГОСПОДАРСТВО ""ЕМАНУІЛ """,Юридична особа,30909920,234234324234234324234232342,372000
239,УКРАЇНСЬКІ ХЛІБНІ ТРАДИЦІЇ,ФОП + фізик + юр. особа ,Підтримка фермерських господарств та інших виробників сільськогосподарської продукції,"Подання заявки за напрямом ""бюджетна дотація за утримання великої рогатої худоби (корів)""",Етап 1,92023,грн.,2024-03-05 14:25:57.528022,Мельник Віктор Петрович,Затверджено,ХАРКІВСЬКА ОБЛАСТЬ,НОВОВОДОЛАЗЬКИЙ РАЙОН,ФЕДОРІВКА,U1327-01789,2024-03-05 14:20:38.810150,2023-003002,2023-06-26 10:01:39.610831,ОБОДОВСЬКИЙ ЮРІЙ ДАНИЛОВИЧ,ФОП,2427900718,123213213213123213123123123,23423
239,УКРАЇНСЬКІ ХЛІБНІ ТРАДИЦІЇ,ФОП + фізик + юр. особа ,Підтримка фермерських господарств та інших виробників сільськогосподарської продукції,"Подання заявки за напрямом ""бюджетна дотація за утримання великої рогатої худоби (корів)""",Етап 1,92023,грн.,2024-03-05 14:25:57.528022,Мельник Віктор Петрович,Затверджено,ДНІПРОПЕТРОВСЬКА ОБЛАСТЬ,РАЙОНИ М.ДНІПРА,ШЕВЧЕНКІВСЬКИЙ,U1327-01788,2024-03-05 14:19:48.503509,2023-002880,2023-04-25 14:32:53.402482,Ріпка Андрій Миколайович,ФОП,3332801174,234230000782366400028348288,68600
235,УКРАЇНСЬКІ ХЛІБНІ ТРАДИЦІЇ,[LST-2] Бюджетна субсидія на одиницю оброблюваних угідь (1 га),Підтримка фермерських господарств та інших виробників сільськогосподарської продукції,"Формування та затвердження Переліку отримувачів за напрямом ""на один гектар земель сільськогосподарського призначення""",Етап 3,1231,грн.,2024-02-20 15:30:48.151544,Мельник Віктор Петрович,Затверджено,ОДЕСЬКА ОБЛАСТЬ,ПОДІЛЬСЬКИЙ РАЙОН,,U944-01706,2024-02-20 15:27:01.004887,2020-000013,2020-02-05 16:43:33.405000,"СЕЛЯНСЬКЕ (ФЕРМЕРСЬКЕ) ГОСПОДАРСТВО ""ЕМАНУІЛ """,Юридична особа,30909920,234234324234234324234232342,1231
